id_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy
1,Europe,Poland,04/03/2020,1,1,0,0,0,0,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,11.11,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
2,Europe,Poland,07/03/2020,5,4,0,0,0,0,0.132,0.106,0,0,0,0,0,0,0,0,0,0,0,0,11.11,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
3,Europe,Poland,08/03/2020,6,1,0,0,0,0,0.159,0.026,0,0,0,0,0,0,0,0,0,0,0,0,11.11,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
4,Europe,Poland,09/03/2020,11,5,0,0,0,0,0.291,0.132,0,0,0,0,0,0,0,0,0,0,0,0,13.89,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
5,Europe,Poland,10/03/2020,17,6,2.429,0,0,0,0.449,0.159,0.064,0,0,0,0,0,0,0,0,0,0,0,25,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
6,Europe,Poland,11/03/2020,22,5,3,0,0,0,0.581,0.132,0.079,0,0,0,0,0,0,0,0,0,0,0,25,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
7,Europe,Poland,12/03/2020,31,9,4.286,0,0,0,0.819,0.238,0.113,0,0,0,0,0,0,0,0,0,0,0,41.67,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
8,Europe,Poland,13/03/2020,49,18,6.857,1,1,0.143,1.295,0.476,0.181,0.026,0.026,0.004,0,0,0,0,0,0,0,0,41.67,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
9,Europe,Poland,14/03/2020,68,19,9,2,1,0.286,1.797,0.502,0.238,0.053,0.026,0.008,0,0,0,0,0,0,0,0,49.07,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
10,Europe,Poland,15/03/2020,104,36,14,3,1,0.429,2.748,0.951,0.37,0.079,0.026,0.011,0,0,0,0,0,0,0,0,57.41,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
